2025-06-06 17:46:30,937 - INFO - [4H] BTC-USDT-SWAP 2025-05-13 16:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:31,903 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:31,904 - INFO - [4H] BTC-USDT-SWAP 2025-05-13 20:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:34,727 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:34,727 - INFO - [4H] BTC-USDT-SWAP 2025-05-14 00:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:35,946 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:35,946 - INFO - [4H] BTC-USDT-SWAP 2025-05-14 04:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:37,012 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:37,013 - INFO - [4H] BTC-USDT-SWAP 2025-05-14 08:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:38,063 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:38,064 - INFO - [4H] BTC-USDT-SWAP 2025-05-14 12:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:39,039 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:39,039 - INFO - [4H] BTC-USDT-SWAP 2025-05-14 16:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:40,205 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:40,205 - INFO - [4H] BTC-USDT-SWAP 2025-05-14 20:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:41,368 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:41,369 - INFO - [4H] BTC-USDT-SWAP 2025-05-15 00:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:42,799 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:42,799 - INFO - [4H] BTC-USDT-SWAP 2025-05-15 04:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:44,669 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:44,669 - INFO - [4H] BTC-USDT-SWAP 2025-05-15 08:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:45,723 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:45,723 - INFO - [4H] BTC-USDT-SWAP 2025-05-15 12:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:46,921 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:46,921 - INFO - [4H] BTC-USDT-SWAP 2025-05-15 16:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:48,436 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:48,437 - INFO - [4H] BTC-USDT-SWAP 2025-05-15 20:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:49,570 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:49,571 - INFO - [4H] BTC-USDT-SWAP 2025-05-16 00:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:50,675 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:50,676 - INFO - [4H] BTC-USDT-SWAP 2025-05-16 04:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:51,874 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:51,875 - INFO - [4H] BTC-USDT-SWAP 2025-05-16 08:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:53,037 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:53,037 - INFO - [4H] BTC-USDT-SWAP 2025-05-16 12:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:54,802 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:54,803 - INFO - [4H] BTC-USDT-SWAP 2025-05-16 16:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:56,223 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:56,223 - INFO - [4H] BTC-USDT-SWAP 2025-05-16 20:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:57,257 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:57,257 - INFO - [4H] BTC-USDT-SWAP 2025-05-17 00:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:59,675 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:46:59,676 - INFO - [4H] BTC-USDT-SWAP 2025-05-17 04:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:02,375 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:02,376 - INFO - [4H] BTC-USDT-SWAP 2025-05-17 08:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:03,527 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:03,528 - INFO - [4H] BTC-USDT-SWAP 2025-05-17 12:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:04,637 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:04,637 - INFO - [4H] BTC-USDT-SWAP 2025-05-17 16:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:05,884 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:05,885 - INFO - [4H] BTC-USDT-SWAP 2025-05-17 20:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:07,277 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:07,278 - INFO - [4H] BTC-USDT-SWAP 2025-05-18 00:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:08,343 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:08,344 - INFO - [4H] BTC-USDT-SWAP 2025-05-18 04:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:11,124 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
