2025-06-03 15:35:30,636 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96996.7, 'bottom': 96896.0}
2025-06-03 15:35:32,591 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96996.7, 'bottom': 96896.0}
2025-06-03 15:35:33,952 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96996.7, 'bottom': 96896.0}
2025-06-03 15:35:35,350 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96996.7, 'bottom': 96896.0}
2025-06-03 15:35:36,537 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96996.7, 'bottom': 96896.0}
2025-06-03 15:35:37,986 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96996.7, 'bottom': 96896.0}
2025-06-03 15:35:39,299 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96996.7, 'bottom': 96896.0}
2025-06-03 15:35:40,428 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 102909.0, 'bottom': 102848.5}
2025-06-03 15:35:41,899 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 102909.0, 'bottom': 102848.5}
2025-06-03 15:35:44,578 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 102909.0, 'bottom': 102848.5}
2025-06-03 15:35:46,035 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 102909.0, 'bottom': 102848.5}
2025-06-03 15:35:47,968 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 102909.0, 'bottom': 102848.5}
2025-06-03 15:35:49,372 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 102909.0, 'bottom': 102848.5}
2025-06-03 15:35:50,706 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 102909.0, 'bottom': 102848.5}
2025-06-03 15:35:52,100 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 102909.0, 'bottom': 102848.5}
2025-06-03 15:35:53,951 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 104787.3, 'bottom': 103948.0}
2025-06-03 15:35:55,701 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 104787.3, 'bottom': 103948.0}
2025-06-03 15:35:57,112 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 104787.3, 'bottom': 103948.0}
2025-06-03 15:35:58,530 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:00,120 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:02,201 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:03,326 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:04,766 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:06,359 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:07,873 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:09,407 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:10,876 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:12,067 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:13,196 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:14,200 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:15,674 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:16,716 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:18,098 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:19,878 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:22,965 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:24,286 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:25,565 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:26,621 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:27,899 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:33,075 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:36,185 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:39,735 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:41,082 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:42,771 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:48,966 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:53,071 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:54,384 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:55,563 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:57,239 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:58,311 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:36:59,476 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:37:00,552 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:37:03,960 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:37:06,761 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:37:08,409 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:37:09,640 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-03 15:37:10,918 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 105480.6, 'bottom': 103835.7}
2025-06-03 15:37:12,575 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 106435.0, 'bottom': 103835.7}
2025-06-03 15:37:14,576 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 106435.0, 'bottom': 103835.7}
2025-06-03 15:37:15,861 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 106435.0, 'bottom': 103835.7}
2025-06-03 16:31:38,691 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 92659.3, 'bottom': 92185.4}
2025-06-03 16:31:38,692 - INFO - [4H] BTC-USDT-SWAP 趋势=uptrend, OB={'top': 92659.3, 'bottom': 92185.4}
2025-06-03 16:31:39,900 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 92659.3, 'bottom': 92185.4}
2025-06-03 16:31:39,900 - INFO - [4H] BTC-USDT-SWAP 趋势=uptrend, OB={'top': 92659.3, 'bottom': 92185.4}
2025-06-03 16:31:42,037 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 92659.3, 'bottom': 92185.4}
2025-06-03 16:31:42,038 - INFO - [4H] BTC-USDT-SWAP 趋势=uptrend, OB={'top': 92659.3, 'bottom': 92185.4}
2025-06-03 16:31:43,420 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 94390.0, 'bottom': 93708.0}
2025-06-03 16:31:43,420 - INFO - [4H] BTC-USDT-SWAP 趋势=uptrend, OB={'top': 94390.0, 'bottom': 93708.0}
2025-06-03 16:31:44,646 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 94390.0, 'bottom': 93708.0}
2025-06-03 16:31:44,647 - INFO - [4H] BTC-USDT-SWAP 趋势=uptrend, OB={'top': 94390.0, 'bottom': 93708.0}
2025-06-03 16:31:47,496 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 94390.0, 'bottom': 93708.0}
2025-06-03 16:31:47,496 - INFO - [4H] BTC-USDT-SWAP 趋势=uptrend, OB={'top': 94390.0, 'bottom': 93708.0}
2025-06-03 16:31:49,762 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 94390.0, 'bottom': 93708.0}
2025-06-03 16:31:49,763 - INFO - [4H] BTC-USDT-SWAP 趋势=uptrend, OB={'top': 94390.0, 'bottom': 93708.0}
2025-06-03 16:31:51,062 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 94390.0, 'bottom': 93708.0}
2025-06-03 16:31:51,062 - INFO - [4H] BTC-USDT-SWAP 趋势=uptrend, OB={'top': 94390.0, 'bottom': 93708.0}
2025-06-03 16:31:52,789 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 94390.0, 'bottom': 93708.0}
2025-06-03 16:31:52,789 - INFO - [4H] BTC-USDT-SWAP 趋势=uptrend, OB={'top': 94390.0, 'bottom': 93708.0}
2025-06-03 16:31:54,240 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96806.0, 'bottom': 96490.0}
2025-06-03 16:31:54,241 - INFO - [4H] BTC-USDT-SWAP 趋势=uptrend, OB={'top': 96806.0, 'bottom': 96490.0}
2025-06-03 16:31:55,703 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96806.0, 'bottom': 96490.0}
2025-06-03 16:31:55,704 - INFO - [4H] BTC-USDT-SWAP 趋势=uptrend, OB={'top': 96806.0, 'bottom': 96490.0}
2025-06-03 16:31:56,961 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96806.0, 'bottom': 96490.0}
2025-06-03 16:31:56,961 - INFO - [4H] BTC-USDT-SWAP 趋势=uptrend, OB={'top': 96806.0, 'bottom': 96490.0}
2025-06-03 16:31:58,913 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96806.0, 'bottom': 96490.0}
2025-06-03 16:31:58,913 - INFO - [4H] BTC-USDT-SWAP 趋势=uptrend, OB={'top': 96806.0, 'bottom': 96490.0}
2025-06-03 16:32:00,481 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96806.0, 'bottom': 96490.0}
2025-06-03 16:32:00,482 - INFO - [4H] BTC-USDT-SWAP 趋势=uptrend, OB={'top': 96806.0, 'bottom': 96490.0}
2025-06-03 16:32:03,431 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96873.0, 'bottom': 96323.1}
2025-06-03 16:32:03,431 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 96873.0, 'bottom': 96323.1}
2025-06-03 16:32:08,826 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96873.0, 'bottom': 96323.1}
2025-06-03 16:32:08,827 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 96873.0, 'bottom': 96323.1}
2025-06-03 16:32:10,119 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96873.0, 'bottom': 96323.1}
2025-06-03 16:32:10,119 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 96873.0, 'bottom': 96323.1}
2025-06-03 16:32:11,552 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96873.0, 'bottom': 96323.1}
2025-06-03 16:32:11,552 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 96873.0, 'bottom': 96323.1}
2025-06-03 16:32:12,663 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96294.7, 'bottom': 96280.2}
2025-06-03 16:32:12,663 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 96294.7, 'bottom': 96280.2}
2025-06-03 16:32:14,207 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96294.7, 'bottom': 96280.2}
2025-06-03 16:32:14,207 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 96294.7, 'bottom': 96280.2}
2025-06-03 16:32:15,692 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96294.7, 'bottom': 96280.2}
2025-06-03 16:32:15,693 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 96294.7, 'bottom': 96280.2}
2025-06-03 16:32:17,601 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96294.7, 'bottom': 96280.2}
2025-06-03 16:32:17,601 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 96294.7, 'bottom': 96280.2}
2025-06-03 16:32:19,839 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96294.7, 'bottom': 96280.2}
2025-06-03 16:32:19,839 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 96294.7, 'bottom': 96280.2}
2025-06-03 16:32:21,565 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96294.7, 'bottom': 96280.2}
2025-06-03 16:32:21,565 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 96294.7, 'bottom': 96280.2}
2025-06-03 16:32:22,873 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:22,873 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:24,566 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:24,566 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:27,196 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:27,197 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:29,544 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:29,545 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:31,040 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:31,040 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:32,315 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:32,315 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:33,833 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 95542.1, 'bottom': 95415.2}
