2025-06-10 16:22:15,114 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:15,114 - INFO - [4H] PI-USDT-SWAP 2025-05-14 20:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:16,393 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:16,394 - INFO - [4H] PI-USDT-SWAP 2025-05-15 00:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:17,654 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:17,655 - INFO - [4H] PI-USDT-SWAP 2025-05-15 04:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:19,604 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:19,605 - INFO - [4H] PI-USDT-SWAP 2025-05-15 08:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:22,434 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:22,434 - INFO - [4H] PI-USDT-SWAP 2025-05-15 12:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:25,034 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:25,034 - INFO - [4H] PI-USDT-SWAP 2025-05-15 16:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:26,320 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:26,321 - INFO - [4H] PI-USDT-SWAP 2025-05-15 20:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:27,601 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:27,601 - INFO - [4H] PI-USDT-SWAP 2025-05-16 00:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:29,998 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:29,999 - INFO - [4H] PI-USDT-SWAP 2025-05-16 04:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:40,867 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:40,867 - INFO - [4H] PI-USDT-SWAP 2025-05-16 08:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:52,238 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:52,238 - INFO - [4H] PI-USDT-SWAP 2025-05-16 12:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:23:00,562 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:23:00,563 - INFO - [4H] PI-USDT-SWAP 2025-05-16 16:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:23:01,839 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
